index,name,default
378,Oscillator 1 Distortion Phase,0.5
379,Oscillator 1 Distortion Spread,0.5
380,Oscillator 1 Distortion Type,0.0
381,Oscillator 1 Unison Frame Spread,0.5
382,Oscillator 1 Level,0.7071067690849304
383,Oscillator 1 Midi Track,1.0
384,Oscillator 1 Switch,1.0
385,Oscillator 1 Pan,0.5
386,Oscillator 1 Phase,0.5
387,Oscillator 1 Phase Randomization,1.0
388,Oscillator 1 Smooth Interpolation,0.0
389,Oscillator 1 Stack Style,0.0
390,Oscillator 1 Stereo Spread,1.0
391,Oscillator 1 Transpose,0.5
392,Oscillator 1 Transpose Quantize,0.0
393,Oscillator 1 Tune,0.5
394,Oscillator 1 Blend,0.800000011920929
395,Oscillator 1 Unison Detune,0.4472135901451111
396,Oscillator 1 Unison Voices,0.0
397,Oscillator 1 Wave Frame,0.0
398,Oscillator 2 Detune Power,0.6499999761581421
399,Oscillator 2 Detune Range,0.0416666679084301
400,Oscillator 2 Distortion Amount,0.5
401,Oscillator 2 Distortion Phase,0.5
402,Oscillator 2 Distortion Spread,0.5
403,Oscillator 2 Distortion Type,0.0
404,Oscillator 2 Unison Frame Spread,0.5
405,Oscillator 2 Level,0.7071067690849304
406,Oscillator 2 Midi Track,1.0
407,Oscillator 2 Switch,0.0
408,Oscillator 2 Pan,0.5
409,Oscillator 2 Phase,0.5
410,Oscillator 2 Phase Randomization,1.0
411,Oscillator 2 Smooth Interpolation,0.0
412,Oscillator 2 Stack Style,0.0
413,Oscillator 2 Stereo Spread,1.0
414,Oscillator 2 Transpose,0.5
415,Oscillator 2 Transpose Quantize,0.0
416,Oscillator 2 Tune,0.5
417,Oscillator 2 Blend,0.800000011920929
418,Oscillator 2 Unison Detune,0.4472135901451111
419,Oscillator 2 Unison Voices,0.0
420,Oscillator 2 Wave Frame,0.0
421,Oversampling,0.3333333432674408
422,Phaser Center,0.5625
423,Phaser Mix,1.0
424,Phaser Feedback,0.5
425,Phaser Frequency,0.2857142984867096
426,Phaser Mod Depth,0.5
427,Phaser Switch,0.0
428,Phaser Phase Offset,0.3333333432674408
429,Phaser Sync,0.3333333432674408
430,Phaser Tempo,0.30000001192092896
431,Pitch Bend Range,0.0416666679084301
432,Polyphony,0.22580644488334656
433,Portamento Force,0.0
434,Portamento Scale,0.0
435,Portamento Slope,0.5
436,Portamento Time,0.0
437,Reverb Chorus Amount,0.22360700368881226
438,Reverb Chorus Frequency,0.5454545617103577
439,Reverb Decay Time,0.5
440,Reverb Mix,0.25
441,Reverb High Cutoff,0.703125
442,Reverb High Gain,0.8333333134651184
443,Reverb Low Cutoff,0.0
444,Reverb Low Gain,1.0
445,Reverb Switch,0.0
446,Reverb Pre High Cutoff,0.859375
447,Reverb Pre Low Cutoff,0.0
448,Sample Keytrack,0.0
449,Sample Level,0.7071067690849304
450,Sample Loop,1.0
451,Sample Switch,0.0
452,Sample Pan,0.5
453,Sample Random Phase,0.0
454,Sample Transpose,0.5
455,Sample Transpose Quantize,0.0
456,Sample Tune,0.5
457,Stereo Routing,1.0
458,Velocity Track,0.5
459,Voice Amplitude,1.0
460,Voice Priority,1.0
461,Voice Tune,0.5
462,Volume,0.7396560311317444
463,Mod Wheel,0.0
464,Pitch Wheel,0.5
465,Random LFO 1 Frequency,0.5
466,Random LFO 1 Stereo,0.0
467,Random LFO 1 Style,0.0
468,Random LFO 1 Sync,0.25
469,Random LFO 1 Tempo,0.6666666865348816
470,Random LFO 2 Frequency,0.5
471,Random LFO 2 Stereo,0.0
472,Random LFO 2 Style,0.0
473,Random LFO 2 Sync,0.25
474,Random LFO 2 Tempo,0.6666666865348816
475,Random LFO 3 Frequency,0.5
476,Random LFO 3 Stereo,0.0
477,Random LFO 3 Style,0.0
478,Random LFO 3 Sync,0.25
479,Random LFO 3 Tempo,0.6666666865348816
480,Random LFO 4 Frequency,0.5
481,Random LFO 4 Stereo,0.0
482,Random LFO 4 Style,0.0
483,Random LFO 4 Sync,0.25
484,Random LFO 4 Tempo,0.6666666865348816
485,Oscillator 1 View 2D,0.5
486,Oscillator 2 View 2D,0.5
487,LFO 1 Stereo,0.5
488,LFO 2 Stereo,0.5
489,LFO 3 Stereo,0.5
490,LFO 4 Stereo,0.5
491,LFO 5 Stereo,0.5
492,LFO 6 Stereo,0.5
493,LFO 7 Stereo,0.5
494,LFO 8 Stereo,0.5
495,Oscillator 1 Frequency Morph Amount,0.5
496,Oscillator 1 Frequency Morph Spread,0.5
497,Oscillator 1 Frequency Morph Type,0.0
498,Oscillator 2 Frequency Morph Amount,0.5
499,Oscillator 2 Frequency Morph Spread,0.5
500,Oscillator 2 Frequency Morph Type,0.0
501,Oscillator 1 Destination,0.0
502,Oscillator 1 Spectral Unison,1.0
503,Oscillator 2 Destination,0.0714285746216774
504,Oscillator 2 Spectral Unison,1.0
505,Oscillator 3 Destination,0.2142857164144516
506,Oscillator 3 Detune Power,0.6499999761581421
507,Oscillator 3 Detune Range,0.0416666679084301
508,Oscillator 3 Distortion Amount,0.5
509,Oscillator 3 Distortion Phase,0.5
510,Oscillator 3 Distortion Spread,0.5
511,Oscillator 3 Distortion Type,0.0
512,Oscillator 3 Unison Frame Spread,0.5
513,Oscillator 3 Level,0.7071067690849304
514,Oscillator 3 Midi Track,1.0
515,Oscillator 3 Switch,0.0
516,Oscillator 3 Pan,0.5
517,Oscillator 3 Phase,0.5
518,Oscillator 3 Phase Randomization,1.0
519,Oscillator 3 Smooth Interpolation,0.0
520,Oscillator 3 Frequency Morph Amount,0.5
521,Oscillator 3 Frequency Morph Spread,0.5
522,Oscillator 3 Frequency Morph Type,0.0
523,Oscillator 3 Spectral Unison,1.0
524,Oscillator 3 Stack Style,0.0
525,Oscillator 3 Stereo Spread,1.0
526,Oscillator 3 Transpose,0.5
527,Oscillator 3 Transpose Quantize,0.0
528,Oscillator 3 Tune,0.5
529,Oscillator 3 Blend,0.800000011920929
530,Oscillator 3 Unison Detune,0.4472135901451111
531,Oscillator 3 Unison Voices,0.0
532,Oscillator 3 View 2D,0.5
533,Oscillator 3 Wave Frame,0.0
534,Sample Destination,0.2142857164144516
535,MPE Enabled,0.0
536,Envelope 1 Delay,0.0
537,Envelope 2 Delay,0.0
538,Envelope 3 Delay,0.0
539,Envelope 4 Delay,0.0
540,Envelope 5 Delay,0.0
541,Envelope 6 Delay,0.0
542,Envelope 1 Hold,0.0
543,Envelope 2 Hold,0.0
544,Envelope 3 Hold,0.0
545,Envelope 4 Hold,0.0
546,Envelope 5 Hold,0.0
547,Envelope 6 Hold,0.0
548,Flanger Center,0.4375
549,EQ Band Mode,0.0
550,Reverb Size,0.5
551,Delay Frequency 2,0.3636363744735718
552,Delay Sync 2,0.3333333432674408
553,Delay Tempo 2,0.625
554,Chorus Voices,1.0
555,Phaser Blend,0.5
556,Random LFO 1 Sync Type,0.0
557,Random LFO 2 Sync Type,0.0
558,Random LFO 3 Sync Type,0.0
559,Random LFO 4 Sync Type,0.0
560,Modulation 33 Amount,0.5
561,Modulation 33 Bipolar,0.0
562,Modulation 33 Bypass,0.0
563,Modulation 33 Power,0.5
564,Modulation 33 Stereo,0.0
565,Modulation 34 Amount,0.5
566,Modulation 34 Bipolar,0.0
567,Modulation 34 Bypass,0.0
568,Modulation 34 Power,0.5
569,Modulation 34 Stereo,0.0
570,Modulation 35 Amount,0.5
571,Modulation 35 Bipolar,0.0
572,Modulation 35 Bypass,0.0
573,Modulation 35 Power,0.5
574,Modulation 35 Stereo,0.0
575,Modulation 36 Amount,0.5
576,Modulation 36 Bipolar,0.0
577,Modulation 36 Bypass,0.0
578,Modulation 36 Power,0.5
579,Modulation 36 Stereo,0.0
580,Modulation 37 Amount,0.5
581,Modulation 37 Bipolar,0.0
582,Modulation 37 Bypass,0.0
583,Modulation 37 Power,0.5
584,Modulation 37 Stereo,0.0
585,Modulation 38 Amount,0.5
586,Modulation 38 Bipolar,0.0
587,Modulation 38 Bypass,0.0
588,Modulation 38 Power,0.5
589,Modulation 38 Stereo,0.0
590,Modulation 39 Amount,0.5
591,Modulation 39 Bipolar,0.0
592,Modulation 39 Bypass,0.0
593,Modulation 39 Power,0.5
594,Modulation 39 Stereo,0.0
595,Modulation 40 Amount,0.5
596,Modulation 40 Bipolar,0.0
597,Modulation 40 Bypass,0.0
598,Modulation 40 Power,0.5
599,Modulation 40 Stereo,0.0
600,Modulation 41 Amount,0.5
601,Modulation 41 Bipolar,0.0
602,Modulation 41 Bypass,0.0
603,Modulation 41 Power,0.5
604,Modulation 41 Stereo,0.0
605,Modulation 42 Amount,0.5
606,Modulation 42 Bipolar,0.0
607,Modulation 42 Bypass,0.0
608,Modulation 42 Power,0.5
609,Modulation 42 Stereo,0.0
610,Modulation 43 Amount,0.5
611,Modulation 43 Bipolar,0.0
612,Modulation 43 Bypass,0.0
613,Modulation 43 Power,0.5
614,Modulation 43 Stereo,0.0
615,Modulation 44 Amount,0.5
616,Modulation 44 Bipolar,0.0
617,Modulation 44 Bypass,0.0
618,Modulation 44 Power,0.5
619,Modulation 44 Stereo,0.0
620,Modulation 45 Amount,0.5
621,Modulation 45 Bipolar,0.0
622,Modulation 45 Bypass,0.0
623,Modulation 45 Power,0.5
624,Modulation 45 Stereo,0.0
625,Modulation 46 Amount,0.5
626,Modulation 46 Bipolar,0.0
627,Modulation 46 Bypass,0.0
628,Modulation 46 Power,0.5
629,Modulation 46 Stereo,0.0
630,Modulation 47 Amount,0.5
631,Modulation 47 Bipolar,0.0
632,Modulation 47 Bypass,0.0
633,Modulation 47 Power,0.5
634,Modulation 47 Stereo,0.0
635,Modulation 48 Amount,0.5
636,Modulation 48 Bipolar,0.0
637,Modulation 48 Bypass,0.0
638,Modulation 48 Power,0.5
639,Modulation 48 Stereo,0.0
640,Modulation 49 Amount,0.5
641,Modulation 49 Bipolar,0.0
642,Modulation 49 Bypass,0.0
643,Modulation 49 Power,0.5
644,Modulation 49 Stereo,0.0
645,Modulation 50 Amount,0.5
646,Modulation 50 Bipolar,0.0
647,Modulation 50 Bypass,0.0
648,Modulation 50 Power,0.5
649,Modulation 50 Stereo,0.0
650,Modulation 51 Amount,0.5
651,Modulation 51 Bipolar,0.0
652,Modulation 51 Bypass,0.0
653,Modulation 51 Power,0.5
654,Modulation 51 Stereo,0.0
655,Modulation 52 Amount,0.5
656,Modulation 52 Bipolar,0.0
657,Modulation 52 Bypass,0.0
658,Modulation 52 Power,0.5
659,Modulation 52 Stereo,0.0
660,Modulation 53 Amount,0.5
661,Modulation 53 Bipolar,0.0
662,Modulation 53 Bypass,0.0
663,Modulation 53 Power,0.5
664,Modulation 53 Stereo,0.0
665,Modulation 54 Amount,0.5
666,Modulation 54 Bipolar,0.0
667,Modulation 54 Bypass,0.0
668,Modulation 54 Power,0.5
669,Modulation 54 Stereo,0.0
670,Modulation 55 Amount,0.5
671,Modulation 55 Bipolar,0.0
672,Modulation 55 Bypass,0.0
673,Modulation 55 Power,0.5
674,Modulation 55 Stereo,0.0
675,Modulation 56 Amount,0.5
676,Modulation 56 Bipolar,0.0
677,Modulation 56 Bypass,0.0
678,Modulation 56 Power,0.5
679,Modulation 56 Stereo,0.0
680,Modulation 57 Amount,0.5
681,Modulation 57 Bipolar,0.0
682,Modulation 57 Bypass,0.0
